iso3;anio;valor_en_porcentaje
ARG;1965;1.1026944
ARG;1966;1.0818663
ARG;1967;1.0765308
ARG;1968;1.2272897
ARG;1969;1.0651326
ARG;1970;1.3533598
ARG;1971;1.2702763
ARG;1972;1.2349532
ARG;1973;2.2839267
ARG;1974;4.342596
ARG;1975;5.64054
ARG;1976;5.2805696
ARG;1977;4.9611993
ARG;1978;7.0858197
ARG;1979;8.312162
ARG;1980;10.958725
ARG;1981;11.287144
ARG;1982;12.366886
ARG;1983;13.302724
ARG;1984;14.838512
ARG;1985;16.157017
ARG;1986;15.482304
ARG;1987;15.696147
ARG;1988;11.459444
ARG;1989;10.28527
ARG;1990;14.31952
ARG;1991;13.302305
ARG;1992;13.798865
ARG;1993;16.02163
ARG;1994;17.144554
ARG;1995;15.7267065
ARG;1996;13.445457
ARG;1997;15.912051
ARG;1998;14.55387
ARG;1999;12.121369
ARG;2000;14.791438
ARG;2001;18.851881
ARG;2002;18.739147
ARG;2003;17.408123
ARG;2004;15.107036
ARG;2005;15.17902
ARG;2006;15.988201
ARG;2007;12.8868475
ARG;2008;12.720229
ARG;2009;14.370073
ARG;2010;13.822569
ARG;2011;12.777892
ARG;2012;11.961745
ARG;2013;12.594494
ARG;2014;12.501876
ARG;2015;12.7179365
ARG;2016;12.31635
ARG;2017;12.547355
ARG;2018;13.104081
ARG;2019;14.213793
ARG;2020;15.210581
ARG;2021;13.89489
ARG;2022;14.681846
