iso3;anio;valor_en_porcentaje
ARG;1965;1.1026944
AUS;1965;5.5626216
AUT;1965;25.096405
ARG;1966;1.0818663
AUS;1966;5.0718946
AUT;1966;25.840193
ARG;1967;1.0765308
AUS;1967;4.9495487
AUT;1967;26.118929
ARG;1968;1.2272897
AUS;1968;4.8654675
AUT;1968;25.099167
ARG;1969;1.0651326
AUS;1969;5.086988
AUT;1969;22.27537
ARG;1970;1.3533598
AUS;1970;5.421451
AUT;1970;24.770256
ARG;1971;1.2702763
AUS;1971;5.8227277
AUT;1971;19.6523
ARG;1972;1.2349532
AUS;1972;5.599285
AUT;1972;19.524149
ARG;1973;2.2839267
AUS;1973;5.588665
AUT;1973;20.17739
ARG;1974;4.342596
AUS;1974;5.95511
AUT;1974;23.734526
ARG;1975;5.64054
AUS;1975;6.2970085
AUT;1975;25.034246
ARG;1976;5.2805696
AUS;1976;5.7934213
AUT;1976;20.905321
ARG;1977;4.9611993
AUS;1977;5.2697754
AUT;1977;25.271303
ARG;1978;7.0858197
AUS;1978;5.508697
AUT;1978;24.244625
ARG;1979;8.312162
AUS;1979;5.1658406
AUT;1979;25.784454
ARG;1980;10.958725
AUS;1980;4.862272
AUT;1980;26.826015
ARG;1981;11.287144
AUS;1981;4.930354
AUT;1981;29.280653
ARG;1982;12.366886
AUS;1982;4.6367826
AUT;1982;30.31977
ARG;1983;13.302724
AUS;1983;4.534481
AUT;1983;30.117786
ARG;1984;14.838512
AUS;1984;4.7184544
AUT;1984;26.68983
ARG;1985;16.157017
AUS;1985;4.863155
AUT;1985;29.769283
AZE;1985;1.6519357
ARG;1986;15.482304
AUS;1986;4.7985597
AUT;1986;30.177652
AZE;1986;0.9406936
ARG;1987;15.696147
AUS;1987;4.532893
AUT;1987;32.193813
AZE;1987;0.9706842
ARG;1988;11.459444
AUS;1988;4.64168
AUT;1988;32.733353
AZE;1988;0.842058
ARG;1989;10.28527
AUS;1989;4.4199533
AUT;1989;32.40866
AZE;1989;0.8257339
ARG;1990;14.31952
AUS;1990;4.4593916
AUT;1990;28.908712
AZE;1990;1.8816601
ARG;1991;13.302305
AUS;1991;4.740063
AUT;1991;27.587229
AZE;1991;2.0779731
ARG;1992;13.798865
AUS;1992;4.731717
AUT;1992;31.037298
AZE;1992;2.4099329
ARG;1993;16.02163
AUS;1993;4.7594285
AUT;1993;32.088062
AZE;1993;3.8572147
ARG;1994;17.144554
AUS;1994;4.527182
AUT;1994;31.296307
AZE;1994;3.1670034
ARG;1995;15.7267065
AUS;1995;4.239725
AUT;1995;31.515926
AZE;1995;2.8640726
ARG;1996;13.445457
AUS;1996;4.236591
AUT;1996;28.95124
AZE;1996;3.449877
ARG;1997;15.912051
AUS;1997;4.14584
AUT;1997;29.96351
AZE;1997;4.0128255
ARG;1998;14.55387
AUS;1998;4.037756
AUT;1998;30.441757
AZE;1998;4.5553145
ARG;1999;12.121369
AUS;1999;4.008933
AUT;1999;32.248478
AZE;1999;3.5244212
ARG;2000;14.791438
AUS;2000;3.9888778
AUT;2000;32.955013
AZE;2000;3.4349427
ARG;2001;18.851881
AUS;2001;3.870762
AUT;2001;30.816671
AZE;2001;3.004117
ARG;2002;18.739147
AUS;2002;3.9314501
AUT;2002;30.325117
AZE;2002;4.6939816
ARG;2003;17.408123
AUS;2003;4.0149684
AUT;2003;25.140518
AZE;2003;5.2657747
ARG;2004;15.107036
AUS;2004;4.03656
AUT;2004;27.633783
AZE;2004;5.1585817
ARG;2005;15.17902
AUS;2005;4.313553
AUT;2005;27.928648
AZE;2005;5.165004
ARG;2006;15.988201
AUS;2006;4.233413
AUT;2006;28.57241
AZE;2006;4.3662996
ARG;2007;12.8868475
AUS;2007;3.9767237
AUT;2007;30.966675
AZE;2007;4.4247346
ARG;2008;12.720229
AUS;2008;3.681326
AUT;2008;31.329908
AZE;2008;4.1157107
ARG;2009;14.370073
AUS;2009;3.9202657
AUT;2009;34.31661
AZE;2009;4.931007
ARG;2010;13.822569
AUS;2010;4.312805
AUT;2010;31.5994
AZE;2010;7.419545
ARG;2011;12.777892
AUS;2011;5.688442
AUT;2011;30.510199
AZE;2011;5.0353055
ARG;2012;11.961745
AUS;2012;5.688193
AUT;2012;35.894623
AZE;2012;3.3029988
ARG;2013;12.594494
AUS;2013;6.5121694
AUT;2013;35.275146
AZE;2013;2.7653382
ARG;2014;12.501876
AUS;2014;5.9665823
AUT;2014;36.64313
AZE;2014;2.4241152
ARG;2015;12.7179365
AUS;2015;6.2821994
AUT;2015;35.00307
AZE;2015;2.7468376
ARG;2016;12.31635
AUS;2016;7.1855173
AUT;2016;35.69875
AZE;2016;3.331108
ARG;2017;12.547355
AUS;2017;6.7429633
AUT;2017;34.537975
AZE;2017;3.0345747
ARG;2018;13.104081
AUS;2018;8.278479
AUT;2018;34.527843
AZE;2018;3.0657055
ARG;2019;14.213793
AUS;2019;8.873599
AUT;2019;35.54422
AZE;2019;2.6910236
ARG;2020;15.210581
AUS;2020;10.834546
AUT;2020;38.186146
AZE;2020;1.9140551
ARG;2021;13.89489
AUS;2021;12.895153
AUT;2021;36.084133
AZE;2021;2.0616357
ARG;2022;14.681846
AUS;2022;14.454731
AUT;2022;36.607925
AZE;2022;2.5034385
